id,title,price,image_url
foldsack_backpack,Fjallraven - Foldsack No. 1 Backpack,10995,https://fakestoreapi.com/img/81fPKd-2AYL._AC_SL1500_t.png
premium_tshirts,Mens Casual Premium Slim Fit T-Shirts,2230,https://fakestoreapi.com/img/71-3HjGNDUL._AC_SY879._SX._UX._SY._UY_t.png
cotton_jacket,Mens Cotton Jacket,5599,https://fakestoreapi.com/img/71li-ujtlUL._AC_UX679_t.png
casual_slim_fit,Mens Casual Slim Fit,1599,https://fakestoreapi.com/img/71YXzeOuslL._AC_UY879_t.png
naga_bracelet,John Hardy Naga Gold & Silver Dragon Bracelet,69500,https://fakestoreapi.com/img/71pWzhdJNwL._AC_UL640_QL65_ML3_t.png
gold_micropave,Solid Gold Petite Micropave,16800,https://fakestoreapi.com/img/61sbMiUnoGL._AC_UL640_QL65_ML3_t.png
white_gold_ring,White Gold Plated Princess,999,https://fakestoreapi.com/img/71YAIFU48IL._AC_UL640_QL65_ML3_t.png
pierced_owl_earrings,Pierced Owl Rose Gold Earrings,1099,https://fakestoreapi.com/img/51UDEzMJVpL._AC_UL640_QL65_ML3_t.png
wd_2tb_hdd,WD 2TB Elements Portable External Hard Drive,6400,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_t.png
sandisk_ssd_1tb,SanDisk SSD PLUS 1TB Internal SSD,10900,https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_t.png
silicon_power_ssd,Silicon Power 256GB SSD,10900,https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_t.png
wd_4tb_gaming,WD 4TB Gaming Drive,11400,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_t.png
acer_monitor,Acer SB220Q 21.5 inches Full HD Monitor,59900,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_t.png
gaming_monitor_samsung,Samsung 49-Inch Curved Gaming Monitor,99999,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_t.png
snowboard_jacket,BIYLACLESEN Women's 3-in-1 Snowboard Jacket,5699,https://fakestoreapi.com/img/51Y5NI-I5jL._AC_UX679_t.png
moto_jacket,Lock and Love Women's Moto Biker Jacket,2995,https://fakestoreapi.com/img/81XH0e8fefL._AC_UY879_t.png
rain_jacket,Rain Jacket Women Windbreaker,3999,https://fakestoreapi.com/img/71HblAHs5xL._AC_UY879_-2t.png
boat_neck_top,MBJ Women's Solid Short Sleeve Boat Neck V,985,https://fakestoreapi.com/img/71z3kpMAYsL._AC_UY879_t.png
moisture_shirt,Opna Women's Short Sleeve Moisture,795,https://fakestoreapi.com/img/51eg55uWmdL._AC_UX679_t.png
danvouy_tshirt,DANVOUY Womens T Shirt Casual Cotton Short,1299,https://fakestoreapi.com/img/61pHAEJ4NML._AC_UX679_t.png
